Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
04 Balears, Illes;Ambos sexos;2002;79,47
04 Balears, Illes;Ambos sexos;2001;79,14
04 Balears, Illes;Ambos sexos;2000;78,42
04 Balears, Illes;Hombres;2021;80,82
04 Balears, Illes;Hombres;2020;81,05
04 Balears, Illes;Hombres;2019;81,36
04 Balears, Illes;Hombres;2018;80,78
04 Balears, Illes;Hombres;2017;80,36
04 Balears, Illes;Hombres;2016;80,58
04 Balears, Illes;Hombres;2015;79,82
04 Balears, Illes;Hombres;2014;80,06
04 Balears, Illes;Hombres;2013;80,10
04 Balears, Illes;Hombres;2012;79,25
04 Balears, Illes;Hombres;2011;79,14
04 Balears, Illes;Hombres;2010;78,77
04 Balears, Illes;Hombres;2009;78,39
04 Balears, Illes;Hombres;2008;78,33
04 Balears, Illes;Hombres;2007;78,30
04 Balears, Illes;Hombres;2006;77,69
04 Balears, Illes;Hombres;2005;77,25
04 Balears, Illes;Hombres;2004;77,14
04 Balears, Illes;Hombres;2003;76,71
04 Balears, Illes;Hombres;2002;76,23
04 Balears, Illes;Hombres;2001;75,90
04 Balears, Illes;Hombres;2000;74,94
04 Balears, Illes;Mujeres;2021;85,91
04 Balears, Illes;Mujeres;2020;85,86
04 Balears, Illes;Mujeres;2019;85,99
04 Balears, Illes;Mujeres;2018;85,67
04 Balears, Illes;Mujeres;2017;85,44
04 Balears, Illes;Mujeres;2016;85,44
04 Balears, Illes;Mujeres;2015;85,05
04 Balears, Illes;Mujeres;2014;85,34
04 Balears, Illes;Mujeres;2013;85,12
04 Balears, Illes;Mujeres;2012;84,52
04 Balears, Illes;Mujeres;2011;84,74
04 Balears, Illes;Mujeres;2010;84,39
04 Balears, Illes;Mujeres;2009;83,95
04 Balears, Illes;Mujeres;2008;84,10
04 Balears, Illes;Mujeres;2007;84,23
04 Balears, Illes;Mujeres;2006;84,11
04 Balears, Illes;Mujeres;2005;83,48
04 Balears, Illes;Mujeres;2004;83,43
04 Balears, Illes;Mujeres;2003;82,91
04 Balears, Illes;Mujeres;2002;82,78
04 Balears, Illes;Mujeres;2001;82,44
04 Balears, Illes;Mujeres;2000;82,03
05 Canarias;Ambos sexos;2021;82,54
05 Canarias;Ambos sexos;2020;82,67
05 Canarias;Ambos sexos;2019;82,79
05 Canarias;Ambos sexos;2018;82,10
05 Canarias;Ambos sexos;2017;82,39
05 Canarias;Ambos sexos;2016;82,19
05 Canarias;Ambos sexos;2015;81,86
05 Canarias;Ambos sexos;2014;81,98
05 Canarias;Ambos sexos;2013;82,05
05 Canarias;Ambos sexos;2012;81,44
05 Canarias;Ambos sexos;2011;81,29
05 Canarias;Ambos sexos;2010;81,39
05 Canarias;Ambos sexos;2009;80,91
05 Canarias;Ambos sexos;2008;79,80
05 Canarias;Ambos sexos;2007;79,78
05 Canarias;Ambos sexos;2006;79,61
05 Canarias;Ambos sexos;2005;79,10
05 Canarias;Ambos sexos;2004;78,77
05 Canarias;Ambos sexos;2003;78,61
05 Canarias;Ambos sexos;2002;78,59
05 Canarias;Ambos sexos;2001;78,06
05 Canarias;Ambos sexos;2000;77,52
05 Canarias;Hombres;2021;80,06
05 Canarias;Hombres;2020;80,27
05 Canarias;Hombres;2019;80,32
05 Canarias;Hombres;2018;79,60
05 Canarias;Hombres;2017;80,00
05 Canarias;Hombres;2016;79,66
05 Canarias;Hombres;2015;79,53
05 Canarias;Hombres;2014;79,45
05 Canarias;Hombres;2013;79,57
05 Canarias;Hombres;2012;78,85
05 Canarias;Hombres;2011;78,42
05 Canarias;Hombres;2010;78,50
05 Canarias;Hombres;2009;78,26
05 Canarias;Hombres;2008;76,78
05 Canarias;Hombres;2007;76,68
05 Canarias;Hombres;2006;76,42
05 Canarias;Hombres;2005;76,00
05 Canarias;Hombres;2004;75,68
05 Canarias;Hombres;2003;75,34
05 Canarias;Hombres;2002;75,32
05 Canarias;Hombres;2001;74,70
05 Canarias;Hombres;2000;74,18
05 Canarias;Mujeres;2021;85,05
05 Canarias;Mujeres;2020;85,09
05 Canarias;Mujeres;2019;85,27
05 Canarias;Mujeres;2018;84,64
05 Canarias;Mujeres;2017;84,79
05 Canarias;Mujeres;2016;84,76
05 Canarias;Mujeres;2015;84,18
05 Canarias;Mujeres;2014;84,55
05 Canarias;Mujeres;2013;84,54
05 Canarias;Mujeres;2012;84,08
05 Canarias;Mujeres;2011;84,23
05 Canarias;Mujeres;2010;84,32
05 Canarias;Mujeres;2009;83,59
05 Canarias;Mujeres;2008;82,91
05 Canarias;Mujeres;2007;83,00
05 Canarias;Mujeres;2006;82,91
05 Canarias;Mujeres;2005;82,31
05 Canarias;Mujeres;2004;81,94
05 Canarias;Mujeres;2003;82,02
05 Canarias;Mujeres;2002;82,00
05 Canarias;Mujeres;2001;81,56
05 Canarias;Mujeres;2000;81,00
06 Cantabria;Ambos sexos;2021;83,64
06 Cantabria;Ambos sexos;2020;83,02
06 Cantabria;Ambos sexos;2019;83,60
06 Cantabria;Ambos sexos;2018;83,35
06 Cantabria;Ambos sexos;2017;83,33
06 Cantabria;Ambos sexos;2016;83,16
06 Cantabria;Ambos sexos;2015;82,71
06 Cantabria;Ambos sexos;2014;82,79
06 Cantabria;Ambos sexos;2013;82,97
06 Cantabria;Ambos sexos;2012;82,54
06 Cantabria;Ambos sexos;2011;82,42
06 Cantabria;Ambos sexos;2010;82,06
06 Cantabria;Ambos sexos;2009;81,96
06 Cantabria;Ambos sexos;2008;81,62
06 Cantabria;Ambos sexos;2007;80,99
06 Cantabria;Ambos sexos;2006;80,99
06 Cantabria;Ambos sexos;2005;81,07
06 Cantabria;Ambos sexos;2004;80,82
06 Cantabria;Ambos sexos;2003;80,39
06 Cantabria;Ambos sexos;2002;80,11
06 Cantabria;Ambos sexos;2001;80,27
06 Cantabria;Ambos sexos;2000;79,35
06 Cantabria;Hombres;2021;80,71
06 Cantabria;Hombres;2020;80,34
06 Cantabria;Hombres;2019;80,93
06 Cantabria;Hombres;2018;80,35
06 Cantabria;Hombres;2017;80,34
06 Cantabria;Hombres;2016;80,12
06 Cantabria;Hombres;2015;79,74
06 Cantabria;Hombres;2014;79,63
06 Cantabria;Hombres;2013;80,00
06 Cantabria;Hombres;2012;79,34
06 Cantabria;Hombres;2011;79,07
06 Cantabria;Hombres;2010;78,50
06 Cantabria;Hombres;2009;78,51
06 Cantabria;Hombres;2008;78,22
06 Cantabria;Hombres;2007;77,42
06 Cantabria;Hombres;2006;77,48
06 Cantabria;Hombres;2005;77,39
06 Cantabria;Hombres;2004;76,99
06 Cantabria;Hombres;2003;76,65
06 Cantabria;Hombres;2002;76,25
06 Cantabria;Hombres;2001;76,54
06 Cantabria;Hombres;2000;75,65
06 Cantabria;Mujeres;2021;86,49
06 Cantabria;Mujeres;2020;85,61
06 Cantabria;Mujeres;2019;86,14
06 Cantabria;Mujeres;2018;86,29
06 Cantabria;Mujeres;2017;86,22
06 Cantabria;Mujeres;2016;86,11
06 Cantabria;Mujeres;2015;85,60
06 Cantabria;Mujeres;2014;85,89
06 Cantabria;Mujeres;2013;85,81
06 Cantabria;Mujeres;2012;85,68
06 Cantabria;Mujeres;2011;85,71
06 Cantabria;Mujeres;2010;85,60
06 Cantabria;Mujeres;2009;85,37
06 Cantabria;Mujeres;2008;84,98
06 Cantabria;Mujeres;2007;84,58
06 Cantabria;Mujeres;2006;84,47
06 Cantabria;Mujeres;2005;84,75
06 Cantabria;Mujeres;2004;84,67
06 Cantabria;Mujeres;2003;84,13
06 Cantabria;Mujeres;2002;84,02
06 Cantabria;Mujeres;2001;84,01
06 Cantabria;Mujeres;2000;83,04
07 Castilla y León;Ambos sexos;2021;83,93
07 Castilla y León;Ambos sexos;2020;82,53
07 Castilla y León;Ambos sexos;2019;84,20
07 Castilla y León;Ambos sexos;2018;83,92
07 Castilla y León;Ambos sexos;2017;83,82
07 Castilla y León;Ambos sexos;2016;83,82
07 Castilla y León;Ambos sexos;2015;83,58
07 Castilla y León;Ambos sexos;2014;83,61
07 Castilla y León;Ambos sexos;2013;83,48
07 Castilla y León;Ambos sexos;2012;83,16
07 Castilla y León;Ambos sexos;2011;83,17
07 Castilla y León;Ambos sexos;2010;82,90
07 Castilla y León;Ambos sexos;2009;82,67
07 Castilla y León;Ambos sexos;2008;82,22
07 Castilla y León;Ambos sexos;2007;81,87
07 Castilla y León;Ambos sexos;2006;81,94
07 Castilla y León;Ambos sexos;2005;81,29
07 Castilla y León;Ambos sexos;2004;81,47
07 Castilla y León;Ambos sexos;2003;80,94
07 Castilla y León;Ambos sexos;2002;80,80
07 Castilla y León;Ambos sexos;2001;81,07
07 Castilla y León;Ambos sexos;2000;80,59
07 Castilla y León;Hombres;2021;81,07
07 Castilla y León;Hombres;2020;79,78
07 Castilla y León;Hombres;2019;81,53
07 Castilla y León;Hombres;2018;81,33
07 Castilla y León;Hombres;2017;81,18
07 Castilla y León;Hombres;2016;81,03
07 Castilla y León;Hombres;2015;80,83
07 Castilla y León;Hombres;2014;80,83
07 Castilla y León;Hombres;2013;80,74
07 Castilla y León;Hombres;2012;80,25
07 Castilla y León;Hombres;2011;80,29
07 Castilla y León;Hombres;2010;79,86
07 Castilla y León;Hombres;2009;79,70
07 Castilla y León;Hombres;2008;79,26
07 Castilla y León;Hombres;2007;78,82
07 Castilla y León;Hombres;2006;78,86
07 Castilla y León;Hombres;2005;78,03
07 Castilla y León;Hombres;2004;78,28
07 Castilla y León;Hombres;2003;77,69
07 Castilla y León;Hombres;2002;77,51
07 Castilla y León;Hombres;2001;77,76
07 Castilla y León;Hombres;2000;77,24
07 Castilla y León;Mujeres;2021;86,92
07 Castilla y León;Mujeres;2020;85,45
07 Castilla y León;Mujeres;2019;86,93
07 Castilla y León;Mujeres;2018;86,54
07 Castilla y León;Mujeres;2017;86,51
07 Castilla y León;Mujeres;2016;86,66
07 Castilla y León;Mujeres;2015;86,39
07 Castilla y León;Mujeres;2014;86,44
07 Castilla y León;Mujeres;2013;86,26
07 Castilla y León;Mujeres;2012;86,15
07 Castilla y León;Mujeres;2011;86,10
07 Castilla y León;Mujeres;2010;86,04
07 Castilla y León;Mujeres;2009;85,72
07 Castilla y León;Mujeres;2008;85,25
07 Castilla y León;Mujeres;2007;85,02
07 Castilla y León;Mujeres;2006;85,07
07 Castilla y León;Mujeres;2005;84,67
07 Castilla y León;Mujeres;2004;84,76
07 Castilla y León;Mujeres;2003;84,29
07 Castilla y León;Mujeres;2002;84,19
07 Castilla y León;Mujeres;2001;84,46
07 Castilla y León;Mujeres;2000;84,04
08 Castilla - La Mancha;Ambos sexos;2021;83,01
08 Castilla - La Mancha;Ambos sexos;2020;81,22
08 Castilla - La Mancha;Ambos sexos;2019;83,57
08 Castilla - La Mancha;Ambos sexos;2018;83,42
08 Castilla - La Mancha;Ambos sexos;2017;83,01
08 Castilla - La Mancha;Ambos sexos;2016;83,25
08 Castilla - La Mancha;Ambos sexos;2015;82,84
08 Castilla - La Mancha;Ambos sexos;2014;83,28
08 Castilla - La Mancha;Ambos sexos;2013;83,09
08 Castilla - La Mancha;Ambos sexos;2012;82,69
08 Castilla - La Mancha;Ambos sexos;2011;82,77
08 Castilla - La Mancha;Ambos sexos;2010;82,71
08 Castilla - La Mancha;Ambos sexos;2009;82,29
08 Castilla - La Mancha;Ambos sexos;2008;81,77
08 Castilla - La Mancha;Ambos sexos;2007;81,42
08 Castilla - La Mancha;Ambos sexos;2006;81,68
08 Castilla - La Mancha;Ambos sexos;2005;80,83
08 Castilla - La Mancha;Ambos sexos;2004;80,90
08 Castilla - La Mancha;Ambos sexos;2003;80,52
08 Castilla - La Mancha;Ambos sexos;2002;80,37
08 Castilla - La Mancha;Ambos sexos;2001;80,15
08 Castilla - La Mancha;Ambos sexos;2000;80,25
08 Castilla - La Mancha;Hombres;2021;80,35
08 Castilla - La Mancha;Hombres;2020;78,61
08 Castilla - La Mancha;Hombres;2019;81,18
08 Castilla - La Mancha;Hombres;2018;80,99
08 Castilla - La Mancha;Hombres;2017;80,53
08 Castilla - La Mancha;Hombres;2016;80,63
08 Castilla - La Mancha;Hombres;2015;80,26
08 Castilla - La Mancha;Hombres;2014;80,69
08 Castilla - La Mancha;Hombres;2013;80,52
08 Castilla - La Mancha;Hombres;2012;80,15
08 Castilla - La Mancha;Hombres;2011;80,38
08 Castilla - La Mancha;Hombres;2010;80,17
08 Castilla - La Mancha;Hombres;2009;79,66
08 Castilla - La Mancha;Hombres;2008;79,02
08 Castilla - La Mancha;Hombres;2007;78,83
08 Castilla - La Mancha;Hombres;2006;78,97
08 Castilla - La Mancha;Hombres;2005;78,12
08 Castilla - La Mancha;Hombres;2004;78,07
08 Castilla - La Mancha;Hombres;2003;77,70
08 Castilla - La Mancha;Hombres;2002;77,57
08 Castilla - La Mancha;Hombres;2001;77,24
08 Castilla - La Mancha;Hombres;2000;77,53
08 Castilla - La Mancha;Mujeres;2021;85,80
08 Castilla - La Mancha;Mujeres;2020;84,02
08 Castilla - La Mancha;Mujeres;2019;86,03
08 Castilla - La Mancha;Mujeres;2018;85,94
08 Castilla - La Mancha;Mujeres;2017;85,56
08 Castilla - La Mancha;Mujeres;2016;85,97
08 Castilla - La Mancha;Mujeres;2015;85,52
08 Castilla - La Mancha;Mujeres;2014;85,96
08 Castilla - La Mancha;Mujeres;2013;85,74
08 Castilla - La Mancha;Mujeres;2012;85,30
08 Castilla - La Mancha;Mujeres;2011;85,20
08 Castilla - La Mancha;Mujeres;2010;85,32
08 Castilla - La Mancha;Mujeres;2009;84,99
08 Castilla - La Mancha;Mujeres;2008;84,64
08 Castilla - La Mancha;Mujeres;2007;84,09
08 Castilla - La Mancha;Mujeres;2006;84,47
08 Castilla - La Mancha;Mujeres;2005;83,63
08 Castilla - La Mancha;Mujeres;2004;83,83
08 Castilla - La Mancha;Mujeres;2003;83,42
08 Castilla - La Mancha;Mujeres;2002;83,25
08 Castilla - La Mancha;Mujeres;2001;83,13
08 Castilla - La Mancha;Mujeres;2000;83,03
09 Cataluña;Ambos sexos;2021;83,34
09 Cataluña;Ambos sexos;2020;82,26
09 Cataluña;Ambos sexos;2019;83,83
09 Cataluña;Ambos sexos;2018;83,41
09 Cataluña;Ambos sexos;2017;83,33
09 Cataluña;Ambos sexos;2016;83,43
09 Cataluña;Ambos sexos;2015;83,09
09 Cataluña;Ambos sexos;2014;83,17
09 Cataluña;Ambos sexos;2013;82,97
09 Cataluña;Ambos sexos;2012;82,49
09 Cataluña;Ambos sexos;2011;82,57
09 Cataluña;Ambos sexos;2010;82,26
09 Cataluña;Ambos sexos;2009;81,89
09 Cataluña;Ambos sexos;2008;81,63
09 Cataluña;Ambos sexos;2007;81,34
09 Cataluña;Ambos sexos;2006;81,28
09 Cataluña;Ambos sexos;2005;80,47
09 Cataluña;Ambos sexos;2004;80,63
09 Cataluña;Ambos sexos;2003;79,99
09 Cataluña;Ambos sexos;2002;80,03
09 Cataluña;Ambos sexos;2001;79,87
09 Cataluña;Ambos sexos;2000;79,66
09 Cataluña;Hombres;2021;80,50
09 Cataluña;Hombres;2020;79,50
09 Cataluña;Hombres;2019;81,02
09 Cataluña;Hombres;2018;80,59
09 Cataluña;Hombres;2017;80,53
09 Cataluña;Hombres;2016;80,63
09 Cataluña;Hombres;2015;80,31
09 Cataluña;Hombres;2014;80,36
09 Cataluña;Hombres;2013;80,05
09 Cataluña;Hombres;2012;79,60
09 Cataluña;Hombres;2011;79,59
09 Cataluña;Hombres;2010;79,22
09 Cataluña;Hombres;2009;78,90
09 Cataluña;Hombres;2008;78,61
09 Cataluña;Hombres;2007;78,13
09 Cataluña;Hombres;2006;78,04
09 Cataluña;Hombres;2005;77,17
09 Cataluña;Hombres;2004;77,27
09 Cataluña;Hombres;2003;76,72
09 Cataluña;Hombres;2002;76,70
09 Cataluña;Hombres;2001;76,45
09 Cataluña;Hombres;2000;76,20
09 Cataluña;Mujeres;2021;86,09
09 Cataluña;Mujeres;2020;84,98
09 Cataluña;Mujeres;2019;86,52
09 Cataluña;Mujeres;2018;86,12
09 Cataluña;Mujeres;2017;86,01
09 Cataluña;Mujeres;2016;86,11
09 Cataluña;Mujeres;2015;85,75
09 Cataluña;Mujeres;2014;85,86
09 Cataluña;Mujeres;2013;85,79
09 Cataluña;Mujeres;2012;85,27
09 Cataluña;Mujeres;2011;85,44
09 Cataluña;Mujeres;2010;85,21
09 Cataluña;Mujeres;2009;84,80
09 Cataluña;Mujeres;2008;84,56
09 Cataluña;Mujeres;2007;84,49
09 Cataluña;Mujeres;2006;84,47
09 Cataluña;Mujeres;2005;83,75
09 Cataluña;Mujeres;2004;83,94
09 Cataluña;Mujeres;2003;83,23
09 Cataluña;Mujeres;2002;83,33
09 Cataluña;Mujeres;2001;83,26
09 Cataluña;Mujeres;2000;83,10
10 Comunitat Valenciana;Ambos sexos;2021;82,22
10 Comunitat Valenciana;Ambos sexos;2020;82,36
10 Comunitat Valenciana;Ambos sexos;2019;83,00
10 Comunitat Valenciana;Ambos sexos;2018;82,58
10 Comunitat Valenciana;Ambos sexos;2017;82,50
10 Comunitat Valenciana;Ambos sexos;2016;82,59
10 Comunitat Valenciana;Ambos sexos;2015;82,23
10 Comunitat Valenciana;Ambos sexos;2014;82,41
10 Comunitat Valenciana;Ambos sexos;2013;82,37
10 Comunitat Valenciana;Ambos sexos;2012;81,86
10 Comunitat Valenciana;Ambos sexos;2011;81,76
10 Comunitat Valenciana;Ambos sexos;2010;81,55
10 Comunitat Valenciana;Ambos sexos;2009;81,27
10 Comunitat Valenciana;Ambos sexos;2008;80,85
10 Comunitat Valenciana;Ambos sexos;2007;80,48
10 Comunitat Valenciana;Ambos sexos;2006;80,44
10 Comunitat Valenciana;Ambos sexos;2005;79,65
10 Comunitat Valenciana;Ambos sexos;2004;79,80
10 Comunitat Valenciana;Ambos sexos;2003;79,04
10 Comunitat Valenciana;Ambos sexos;2002;79,01
10 Comunitat Valenciana;Ambos sexos;2001;78,93
